h3_cell,grid_lat,grid_lon,year,actual_hrs,actual_risk_label,predicted_risk_label,predicted_prob_High,predicted_prob_Low,predicted_prob_Medium,eq_count_3yr,seismic_energy_3yr,mean_depth_3yr
854a45d3fffffff,26,138,2006,8.701029995663982,Medium,Low,0.01653312497342066,0.7469203767154525,0.23654649831112667,0,0.0,0.0
854a45d3fffffff,26,138,2007,0.0,Low,Low,0.0430628952012594,0.606095107519445,0.35084199727929566,1,1995262.3149688828,35.0
854a45d3fffffff,26,138,2008,0.0,Low,Low,0.07357635722252676,0.747636835393871,0.17878680738360206,1,1995262.3149688828,35.0
854a45d3fffffff,26,138,2009,0.0,Low,Low,0.09176558028017087,0.73543445444149,0.1727999652783389,1,1995262.3149688828,35.0
854a45d3fffffff,26,138,2010,0.0,Low,Low,0.020836333816601927,0.8135778004158563,0.16558586576754172,0,0.0,0.0
854a45d3fffffff,26,138,2011,0.0,Low,Low,0.018172925837114596,0.8708715412928821,0.11095553287000313,0,0.0,0.0
854a45d3fffffff,26,138,2012,0.0,Low,Low,0.01511344644318142,0.8905221998810677,0.09436435367575083,0,0.0,0.0
854a45d3fffffff,26,138,2013,0.0,Low,Low,0.01548826399726435,0.885901112475512,0.09861062352722386,0,0.0,0.0
854a45d3fffffff,26,138,2014,0.0,Low,Low,0.03782198876359719,0.8630200057573367,0.0991580054790661,0,0.0,0.0
854a45d3fffffff,26,138,2015,0.0,Low,Low,0.04320794991988551,0.8894878368305238,0.0673042132495906,0,0.0,0.0
854a45d3fffffff,26,138,2016,0.0,Low,Low,0.034176775240442214,0.9008403665987257,0.0649828581608321,0,0.0,0.0
854a45d3fffffff,26,138,2017,0.0,Low,Low,0.04527553895615548,0.9023236240088873,0.052400837034957216,0,0.0,0.0
854a45d3fffffff,26,138,2018,0.0,Low,Low,0.07652784196149703,0.8909424880680835,0.03252966997041934,0,0.0,0.0
854a45d3fffffff,26,138,2019,0.0,Low,Low,0.07652784196149703,0.8909424880680835,0.03252966997041934,0,0.0,0.0
854a45d3fffffff,26,138,2020,0.0,Low,Low,0.07652784196149703,0.8909424880680835,0.03252966997041934,0,0.0,0.0
854a45d3fffffff,26,138,2021,0.0,Low,Low,0.07652784196149703,0.8909424880680835,0.03252966997041934,0,0.0,0.0
854a45d3fffffff,26,138,2022,0.0,Low,Low,0.07652784196149703,0.8909424880680835,0.03252966997041934,0,0.0,0.0
854a45d3fffffff,26,138,2023,0.0,Low,Low,0.07652784196149703,0.8909424880680835,0.03252966997041934,0,0.0,0.0
854a45d3fffffff,26,138,2024,0.0,Low,Low,0.07652784196149703,0.8909424880680835,0.03252966997041934,0,0.0,0.0
854a6a3bfffffff,26,140,2002,0.0,Low,Low,0.10874180327868853,0.6804364754098361,0.21082172131147542,1,1412537544.6227496,388.0
854a6a3bfffffff,26,140,2003,0.0,Low,Low,0.05366402724622846,0.7620091779648246,0.18432679478894698,0,0.0,0.0
854a6a3bfffffff,26,140,2004,0.0,Low,Low,0.07521018497734379,0.7745635457612896,0.1502262692613664,0,0.0,0.0
854a6a3bfffffff,26,140,2005,0.0,Low,Low,0.06539215425617291,0.8015474571947853,0.13306038854904143,0,0.0,0.0
854a6a3bfffffff,26,140,2006,0.0,Low,Low,0.06677990935821372,0.7768820157493902,0.15633807489239598,0,0.0,0.0
854a6a3bfffffff,26,140,2007,0.0,Low,Low,0.10811994619443613,0.7543500107604992,0.1375300430450645,0,0.0,0.0
854a6a3bfffffff,26,140,2008,10.90102999566398,High,Low,0.415480602598205,0.46204713715350715,0.12247226024828771,0,0.0,0.0
854a6a3bfffffff,26,140,2009,0.0,Low,Low,0.06474937252002405,0.6921565822097658,0.24309404527021017,1,89125093.8133744,434.5
854a6a3bfffffff,26,140,2010,9.50102999566398,Medium,Medium,0.056810519901740596,0.2808193352301048,0.6623701448681547,1,89125093.8133744,434.5
854a6a3bfffffff,26,140,2011,0.0,Low,Low,0.24004819162891483,0.5379873896544062,0.22196441871667894,2,97068376.1606172,509.35
854a6a3bfffffff,26,140,2012,0.0,Low,Low,0.07255254709175403,0.8427755002654064,0.08467195264283961,1,7943282.347242805,584.2
854a6a3bfffffff,26,140,2013,0.0,Low,Low,0.06644143598064293,0.8452861840260901,0.08827237999326694,1,7943282.347242805,584.2
854a6a3bfffffff,26,140,2014,8.901029995663981,Medium,Low,0.12608245012205418,0.4729508068308249,0.40096674304712104,0,0.0,0.0
854a6a3bfffffff,26,140,2015,0.0,Low,Low,0.04743612350705249,0.663845272305669,0.28871860418727846,1,2818382.9312644494,384.54
854a6a3bfffffff,26,140,2016,9.701029995663982,Medium,Medium,0.03768678027081507,0.39570399227947867,0.5666092274497062,1,2818382.9312644494,384.54
