grid_lat,grid_lon,year,eq_count_3yr,eq_count_1yr,mean_mag_3yr,max_mag_3yr,mean_depth_3yr,seismic_energy_3yr,seismic_energy_1yr,freq_trend,mag_trend,target_count,target_max_mag,target_energy,target_hrs,risk_label
28,144,2002,2,2,4.0,4.0,33.0,2000000.0,2000000.0,20.0,0.0,0,0.0,0.0,0.0,Low
28,144,2003,2,0,4.0,4.0,33.0,2000000.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Low
28,144,2004,2,0,4.0,4.0,33.0,2000000.0,0.0,0.0,0.0,1,4.3,2818382.9312644494,8.901029995663981,Medium
28,144,2005,1,1,4.3,4.3,36.3,2818382.9312644494,2818382.9312644494,10.0,0.2999999999999998,0,0.0,0.0,0.0,Low
28,144,2006,1,0,4.3,4.3,36.3,2818382.9312644494,0.0,0.0,-0.2999999999999998,0,0.0,0.0,0.0,Low
28,144,2007,1,0,4.3,4.3,36.3,2818382.9312644494,0.0,0.0,-0.2999999999999998,0,0.0,0.0,0.0,Low
28,144,2008,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Low
28,144,2009,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Low
28,144,2010,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,6,4.5,20222322.525502343,9.845098040014257,Medium
28,144,2011,6,6,4.316666666666667,4.5,10.0,20222322.525502343,20222322.525502343,60.0,0.3166666666666673,1,4.2,1995262.3149688828,8.701029995663982,Medium
28,144,2012,7,1,4.3,4.5,10.0,22217584.840471227,1995262.3149688828,0.3225806451612903,-0.1166666666666671,0,0.0,0.0,0.0,Low
28,144,2013,7,0,4.3,4.5,10.0,22217584.840471227,0.0,0.0,-0.2999999999999998,0,0.0,0.0,0.0,Low
28,144,2014,1,0,4.2,4.2,10.0,1995262.3149688828,0.0,0.0,-0.2000000000000001,0,0.0,0.0,0.0,Low
28,144,2015,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Low
28,144,2016,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Low
28,144,2017,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Low
28,144,2018,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2,4.5,7618675.566872374,9.477121254719663,Medium
28,144,2019,2,2,4.35,4.5,10.0,7618675.566872374,7618675.566872374,20.0,0.3499999999999996,0,0.0,0.0,0.0,Low
28,144,2020,2,0,4.35,4.5,10.0,7618675.566872374,0.0,0.0,-0.3499999999999996,1,4.2,1995262.3149688828,8.701029995663982,Medium
28,144,2021,3,1,4.3,4.5,10.0,9613937.881841255,1995262.3149688828,0.9090909090909092,-0.1499999999999994,0,0.0,0.0,0.0,Low
28,144,2022,1,0,4.2,4.2,10.0,1995262.3149688828,0.0,0.0,-0.2000000000000001,0,0.0,0.0,0.0,Low
28,144,2023,1,0,4.2,4.2,10.0,1995262.3149688828,0.0,0.0,-0.2000000000000001,0,0.0,0.0,0.0,Low
28,144,2024,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Low
29,127,2002,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2,4.7,15201256.24855463,9.877121254719663,Medium
29,127,2003,2,2,4.550000000000001,4.7,33.0,15201256.24855463,15201256.24855463,20.0,0.5500000000000007,1,4.7,11220184.543019652,9.701029995663982,Medium
29,127,2004,3,1,4.6000000000000005,4.7,25.33333333333333,26421440.791574284,11220184.543019652,0.9090909090909092,0.1499999999999994,0,0.0,0.0,0.0,Low
29,127,2005,3,0,4.6000000000000005,4.7,25.33333333333333,26421440.791574284,0.0,0.0,-0.6000000000000005,0,0.0,0.0,0.0,Low
29,127,2006,1,0,4.7,4.7,10.0,11220184.543019652,0.0,0.0,-0.7000000000000002,0,0.0,0.0,0.0,Low
29,127,2007,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Low
29,127,2008,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Low
29,127,2009,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Low
29,127,2010,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Low
29,127,2011,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Low
29,127,2012,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Low
29,127,2013,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Low
29,127,2014,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Low
29,127,2015,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Low
29,127,2016,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Low
29,127,2017,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Low
29,127,2018,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Low
29,127,2019,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Low
29,127,2020,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Low
29,127,2021,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Low
29,127,2022,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Low
29,127,2023,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Low
29,127,2024,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Low
29,128,2002,2,1,5.05,5.5,152.25,185771223.35113508,7943282.347242805,1.6666666666666667,-0.9000000000000004,5,5.7,381461619.20656896,12.178151250383644,High
29,128,2003,7,5,4.842857142857143,5.7,70.88571428571427,567232842.5577041,381461619.20656896,4.545454545454545,-0.29,5,4.4,11789979.266737193,9.578151250383645,Medium
29,128,2004,11,5,4.5,5.7,43.2090909090909,401194880.82054895,11789979.266737193,1.6129032258064515,-0.5133333333333328,1,4.0,1000000.0,8.301029995663981,Low
29,128,2005,11,1,4.445454545454545,5.7,45.80909090909092,394251598.4733061,1000000.0,0.196078431372549,-0.4900000000000002,2,4.1,2412537.544622753,8.677121254719662,Medium
29,128,2006,8,2,4.15,4.4,102.425,15202516.811359946,2412537.544622753,0.6451612903225806,-0.1333333333333337,0,0.0,0.0,0.0,Low
29,128,2007,3,0,4.033333333333333,4.1,234.80000000000004,3412537.544622753,0.0,0.0,-0.0333333333333332,0,0.0,0.0,0.0,Low
29,128,2008,2,0,4.05,4.1,253.6,2412537.544622753,0.0,0.0,-0.0499999999999998,0,0.0,0.0,0.0,Low
29,128,2009,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,6,5.3,169126254.01970658,11.445098040014257,High
29,128,2010,6,6,4.65,5.3,69.38333333333334,169126254.01970658,169126254.01970658,60.0,0.6499999999999995,2,4.3,3818382.9312644494,9.077121254719662,Medium
29,128,2011,8,2,4.525,5.3,76.575,172944636.95097104,3818382.9312644494,0.6451612903225806,-0.4999999999999991,1,4.9,22387211.385683425,10.101029995663982,Medium
29,128,2012,9,1,4.566666666666666,5.3,83.27777777777777,195331848.33665448,22387211.385683425,0.2439024390243902,0.375,3,4.7,16856950.40554855,10.002059991327963,Medium
