grid_lat,grid_lon,avg_annual_count,max_magnitude,avg_magnitude,avg_depth,avg_energy,cluster
28,143,8.91304347826087,5.9,4.545345828284968,21.946972801464057,143683438.94221488,1
28,144,0.5652173913043478,4.5,4.148550724637682,12.952173913043477,1593474.158851171,0
29,127,0.13043478260869565,4.7,4.106521739130435,4.0724637681159415,1148758.2952858384,0
29,128,2.0,6.6,4.633322040278562,125.08267733232951,452437128.0906961,1
29,129,5.695652173913044,6.0,4.540891437106439,49.91267807978355,109178852.1458666,1
29,130,9.043478260869565,6.8,4.552394460861514,38.918549621905385,938420503.1373932,1
29,131,4.913043478260869,6.4,4.530554379396257,30.031366011714336,128867306.63049416,1
29,132,1.1304347826086956,6.1,4.325248447204969,15.118694340924776,40369518.130818,1
29,138,0.30434782608695654,5.0,4.159782608695652,246.07539855072466,2411133.0881624436,2
29,139,3.8260869565217392,6.4,4.4248667411281835,441.01332938920984,480963291.4784366,2
29,140,2.6956521739130435,7.4,4.295457961438511,251.37542743579837,195889062.87475738,2
29,141,2.6956521739130435,5.5,4.459862836438924,67.34810755693582,29188484.223053195,1
29,142,7.826086956521739,5.6,4.578916414362308,26.864347759522843,124181448.61731152,1
29,143,7.043478260869565,5.8,4.548755805106964,21.732284868649113,119862951.13892451,1
29,144,0.30434782608695654,5.2,4.397826086956522,8.790434782608695,5987320.383959095,1
30,127,0.043478260869565216,4.4,4.052173913043478,4.643478260869566,173090.07415369467,0
30,128,0.21739130434782608,5.1,4.234782608695652,18.276086956521738,2202565.704304237,0
30,129,0.9130434782608695,5.7,4.573913043478261,140.69945289855073,23549350.510389365,1
30,130,2.5217391304347827,5.5,4.551789949181254,59.90394602860907,39205777.391046554,1
30,131,7.217391304347826,5.7,4.553282217158333,37.26654242240996,124736452.62059985,1
30,132,1.3043478260869565,5.9,4.481086956521739,25.006478260869564,37945302.41182859,1
30,133,0.08695652173913043,4.6,4.102173913043478,3.608695652173913,331246.76377705974,0
30,137,0.5217391304347826,5.1,4.304347826086956,348.15210144927534,4999104.061817497,2
30,138,2.0,6.3,4.3179575255662215,451.1681523150762,12715288.40066507,2
30,139,7.608695652173913,6.5,4.332617247937614,410.4302720323097,460477840.9719503,2
30,140,9.391304347826088,6.1,4.449967238101249,76.780497662513,426802067.55117905,1
30,141,4.913043478260869,6.1,4.475145485212121,61.515940151339414,132595227.64637414,1
30,142,6.3478260869565215,6.0,4.538452504880952,23.639220253187457,74927886.7141765,1
30,143,3.739130434782609,5.3,4.404490097890623,21.60254271596996,26156929.272838127,1
30,144,0.08695652173913043,4.4,4.065217391304348,6.242608695652173,234504.75000685785,0
30,145,0.043478260869565216,4.2,4.0260869565217385,1.3043478260869565,86750.53543342969,0
31,127,0.043478260869565216,4.5,4.065217391304348,1.3043478260869565,244496.22834363003,0
31,128,0.08695652173913043,4.7,4.182608695652174,2.456086956521739,975668.2211321436,0
31,129,2.260869565217391,6.7,4.380776830493893,63.15407932173687,556445442.3704507,1
31,130,3.6956521739130435,6.2,4.501640219683698,150.4645783052696,187418130.15952462,1
31,131,5.391304347826087,6.3,4.574636132088428,45.377832755038696,244759939.83630595,1
31,132,3.6956521739130435,5.5,4.456372905253912,27.949264287860625,47476128.68543087,1
31,133,0.8260869565217391,5.8,4.242173913043478,9.20286956521739,26200677.233122986,0
31,134,0.0,4.6,4.0260869565217385,1.434782608695652,0.0,0
31,135,0.043478260869565216,5.3,4.1695652173913045,65.50434782608696,3875004.078842365,0
31,136,0.043478260869565216,4.5,4.065217391304348,65.42608695652174,244496.22834363003,0
31,137,0.5217391304347826,4.7,4.280289855072464,336.4749855072464,2123843.5276395576,2
31,138,2.9130434782608696,6.8,4.474072521681217,418.59661076242594,745846255.6526514,2
31,139,1.6956521739130435,5.3,4.376019741128436,244.76846760630673,15314844.717007406,2
31,140,4.260869565217392,5.6,4.556502102782726,79.21840985634518,68867976.73877345,1
31,141,3.347826086956522,5.3,4.452538888139574,45.33850065069687,33995711.03789161,1
31,142,22.52173913043478,6.3,4.529203500174356,21.546737315333313,768492695.1919805,1
31,143,3.130434782608696,6.3,4.4367607754564276,22.007106115502854,226037900.25250012,1
32,129,0.5652173913043478,5.1,4.317971014492754,10.759057971014494,6355048.634243777,0
32,130,0.5652173913043478,4.9,4.365942028985508,26.077391304347824,3510580.6530352994,0
32,131,1.9565217391304348,5.8,4.482279158040028,71.29737229123533,46160790.72517556,1
32,132,4.521739130434782,7.1,4.550399812176128,34.53947286276526,2130656549.0798357,1
32,133,0.17391304347826086,4.6,4.195652173913044,10.560434782608697,778290.785794854,0
32,134,0.043478260869565216,4.6,4.078260869565217,3.43304347826087,345360.102054035,0
32,135,0.08695652173913043,4.3,4.0260869565217385,1.7662608695652176,183953.06416900878,0
32,136,0.043478260869565216,4.5,4.043478260869565,0.8359130434782608,244496.22834363003,0
32,137,0.6086956521739131,5.3,4.3731884057971016,329.23753623188406,7266622.41582043,2
32,138,3.869565217391304,5.9,4.427988328097024,357.4853561028344,128744969.82256487,2
32,139,0.5652173913043478,5.5,4.420289855072464,158.12314492753623,13146663.181642123,2
32,140,3.0,5.9,4.594617671923246,71.05685344113114,61867937.463204384,1
32,141,4.130434782608695,5.8,4.517287010406103,50.766878570914486,70245960.70365982,1
32,142,12.478260869565217,5.6,4.492508926398004,23.19218861523081,145956920.02502227,1
32,143,2.217391304347826,5.4,4.429075467154008,15.970306923990961,13606799.058954598,1
32,144,0.17391304347826086,5.2,4.3,9.228260869565217,3619965.2755774735,0
33,124,0.08695652173913043,4.9,4.1173913043478265,3.9521739130434783,1016835.2776384098,0
33,126,0.043478260869565216,4.6,4.078260869565217,1.3043478260869565,345360.102054035,0
33,129,0.043478260869565216,4.1,4.01304347826087,2.334782608695652,61414.67585316316,0
33,130,0.4782608695652174,4.9,4.216666666666667,8.90418115942029,3428057.124310348,0
33,131,5.6521739130434785,7.0,4.513956714220539,53.23362074485127,1726292777.8607779,1
33,132,2.869565217391304,6.3,4.612323485693051,50.48631561554387,293230421.21959496,1
33,133,0.21739130434782608,4.9,4.269565217391304,16.112608695652174,2224369.4505683617,0
33,134,0.21739130434782608,4.5,4.1869565217391305,8.692065217391304,856607.621634797,0
33,135,0.21739130434782608,4.7,4.250724637681159,13.306521739130435,1079091.0355051525,0
33,136,0.6086956521739131,5.9,4.589782608695652,235.16296376811593,47875377.00184819,2
33,137,6.521739130434782,7.4,4.477136701745878,194.3104162821241,9251955491.929882,1
33,138,3.608695652173913,7.1,4.368025627753889,306.66229437254276,1961384303.7255952,2
33,139,4.695652173913044,5.8,4.391477920495892,106.88643281787276,71866976.25684147,1
33,140,3.347826086956522,6.6,4.461400033761725,83.62342839569085,371925331.5531034,1
33,141,7.217391304347826,6.0,4.545976358264045,48.51609587101912,267939943.03760833,1
33,142,11.869565217391305,5.8,4.494222688798265,22.73935257108289,167110894.66171688,1
33,143,3.4782608695652173,5.7,4.485480287828113,17.61042104996453,39758905.82540841,1
34,129,0.08695652173913043,4.5,4.069565217391304,3.034782608695652,367034.61665947567,0
34,130,0.6086956521739131,6.6,4.141304347826087,4.314130434782609,356334728.0295065,1
34,131,0.043478260869565216,4.4,4.052173913043478,1.317391304347826,173090.07415369467,0
34,132,1.1304347826086956,6.3,4.541221532091098,69.26116511387163,132651536.78966786,1
34,133,0.5652173913043478,6.8,4.473478260869565,37.833304347826086,4608651.558018084,1
34,134,0.6521739130434783,4.8,4.361376811594203,27.972101449275364,4015107.659654536,0
34,135,2.4347826086956523,5.8,4.469469540121714,47.59695881171968,48924589.350026235,1
34,136,2.0434782608695654,5.5,4.3707039337474125,219.63346204278815,17660167.989679936,2
34,137,6.086956521739131,6.1,4.37987314848732,331.2455985184944,127353573.72830603,2
34,138,1.3478260869565217,5.6,4.397536231884058,233.62960144927536,20065058.93841773,2
34,139,2.0434782608695654,6.5,4.512284169035923,43.731159369338805,28932901.090247516,1
34,140,3.0,5.7,4.46955541924789,83.84623962472075,56012307.948376544,1
34,141,4.913043478260869,6.6,4.5547842765361946,38.42134362904785,672549375.6784087,1
34,142,11.956521739130435,6.2,4.476960698978982,21.974943668297612,241862268.25962302,1
34,143,0.8695652173913043,4.7,4.271449275362319,7.817101449275362,3455701.747763551,0
35,123,0.043478260869565216,4.5,4.065217391304348,1.3043478260869565,244496.22834363003,0
35,124,0.08695652173913043,4.8,4.208695652173913,2.608695652173913,1378167.9934444441,0
35,131,0.043478260869565216,4.5,4.065217391304348,2.7756521739130435,244496.22834363003,0
35,132,0.17391304347826086,5.0,4.247826086956522,4.995,2066443.5808694153,0
35,133,0.391304347826087,6.7,4.357608695652174,11.345652173913043,19231083.031801943,1
35,134,0.43478260869565216,6.2,4.164492753623188,4.885115942028985,91448336.5386685,0
35,135,0.6956521739130435,5.4,4.232173913043479,136.8464347826087,7341802.412341976,2
35,136,1.608695652173913,5.5,4.310013802622498,136.74675914423742,14323474.521511905,2
35,137,2.347826086956522,5.3,4.44153428696907,185.44271245686681,18023038.91402889,2
35,138,1.565217391304348,6.2,4.501826651609261,91.05291461195809,124332227.69622532,1
35,139,3.217391304347826,6.0,4.4416626489452575,85.53731091734353,148323013.1474855,1
35,140,9.173913043478262,5.9,4.488782591126904,56.87337825624093,139128656.3332215,1
35,141,16.82608695652174,6.2,4.559219322851982,35.174024510348374,521720815.70682096,1
35,142,5.086956521739131,5.4,4.486042082103772,24.574367294270004,54255861.866756566,1
35,143,3.0,4.9,4.250124937531234,16.77813418290855,17388700.616357584,0
35,144,0.13043478260869565,4.7,4.143478260869565,4.647826086956522,876672.4734896721,0
36,124,0.043478260869565216,4.4,4.052173913043478,1.3043478260869565,173090.07415369467,0
36,125,0.043478260869565216,4.6,4.078260869565217,1.3043478260869565,345360.102054035,0
36,127,0.08695652173913043,4.4,4.069565217391304,1.7391304347826086,346180.14830738935,0
36,129,0.2608695652173913,5.5,4.200869565217391,1.9299130434782608,15499623.695751086,0
36,130,0.043478260869565216,4.7,4.091304347826087,1.3043478260869565,487834.1105660718,0
36,133,0.043478260869565216,4.3,4.0260869565217385,0.9144347826086957,122538.38831584563,0
36,134,0.043478260869565216,4.5,4.040869565217391,3.3739130434782605,61414.67585316316,0
36,135,0.34782608695652173,5.5,4.28695652173913,225.89810869565218,1400684.6208132738,2
36,136,1.1304347826086956,5.0,4.370419254658385,137.32325051759835,6319467.354284704,2
36,137,1.9565217391304348,5.4,4.303059947299078,197.15793553547903,15630562.17397776,2
36,138,2.217391304347826,5.3,4.453916494133885,64.0295596963423,29306403.630110823,1
36,139,3.0,5.5,4.4273513925687835,100.69448036383906,25691428.646414664,1
36,140,25.869565217391305,6.2,4.500633578957832,67.28836470070156,521866220.6822114,1
36,141,35.130434782608695,7.9,4.529258231462076,42.52820464433666,31916349473.87724,1
36,142,32.17391304347826,6.9,4.528370254093948,28.94701105171104,3306839500.2965617,1
36,143,8.565217391304348,5.7,4.474279660212746,23.5884592329901,90898922.01399098,1
36,144,1.826086956521739,5.3,4.300138734051778,10.706587381217817,14765786.319394352,0
36,145,0.21739130434782608,4.8,4.139855072463768,8.43768115942029,1624880.9774619832,0
37,123,0.043478260869565216,4.2,4.0260869565217385,1.3043478260869565,86750.53543342969,0
37,124,0.043478260869565216,5.0,4.130434782608695,2.338695652173913,1374903.330507991,0
